id,name,short,type,address,region,phone,phoneDisplay,hours,open,close,rating,reviews,lat,lng,geoExact,maps,facebook,tiktok,instagram,price,note,photo,email,priority,active
CN03,Boom Music Box Hoàng Diệu 2 (CN1),Hoàng Diệu 2 (CN1),Quán bar karaoke / Karaoke mini,"190 Đ. Hoàng Diệu 2, P. Linh Chiểu, TP. Thủ Đức, TP.HCM",TP.HCM,0899887034,0899 887 034,10:00 - 06:00 hôm sau (hàng ngày),10:00,06:00,4.7,580,10.8506,106.7681,N,https://www.google.com/maps/search/Boom+Music+Box+Ho%C3%A0ng+Di%E1%BB%87u+2,facebook.com/boommusicboxhoangdieu2 - Chi nhánh đầu tiên,,,Từ 10-15k/giờ,Chi nhánh khai trương đầu tiên của hệ thống Boom Music Box (14/09/2024).,,,1,Y
CN01,Boom Music Box Tây Hòa,Tây Hòa,Karaoke mini / Phòng thu âm,"184 Tây Hòa, KP.25, P. Phước Long, TP. Thủ Đức, TP.HCM",TP.HCM,0906251543,0906 251 543,"10:00 - 06:00 hôm sau, mở cửa tất cả các ngày trong tuần",10:00,06:00,5.0,343,10.8244417,106.7689786,Y,"https://www.google.com/maps/place/Boom+Music+Box+T%C3%A2y+H%C3%B2a/@10.8244417,106.7689786,992m/data=!3m2!1e3!4b1!4m6!3m5!1s0x3175270057ef225d:0x90f0c76e8b6a2b96!8m2!3d10.8244417!4d106.7689786",facebook.com/Boomusicboxtayhoa,tiktok.com/@boom.music.box.th,instagram.com/boomtayhoa,Từ 10k/giờ (khung giờ vàng),"Karaoke mini 4-10m2, riêng tư, phong cách chill, phù hợp giới trẻ/sinh viên/cặp đôi. Chi nhánh CN16 thuộc hệ thống Boom Music Box.",,,2,Y
CN02,Boom Music Box Nguyễn Văn Tăng,Nguyễn Văn Tăng,Karaoke mini / Chuyên gia về âm thanh,"251 Nguyễn Văn Tăng, P. Long Bình, TP. Thủ Đức, TP.HCM",TP.HCM,0777451599,0777 451 599,"10:00 - 06:00 hôm sau, mở cửa tất cả các ngày trong tuần",10:00,06:00,5.0,52,10.8418097,106.821271,Y,"https://www.google.com/maps/place/Boom+Music+Box+Nguy%E1%BB%85n+V%C4%83n+T%C4%83ng/@10.8418097,106.821271,992m/data=!3m2!1e3!4b1!4m6!3m5!1s0x3175219c629b8c03:0x647a2a5c50723dd9!8m2!3d10.8418097!4d106.821271",facebook.com/boommusicboxnguyenvantang,,instagram.com/boom_music_box,Từ 15k/giờ,"Karaoke mini 4-10m2, khai trương gần đây (2 tháng trước theo review), cùng hệ thống với Boom Music Box Tây Hòa và Hoàng Diệu 2.",,,3,Y
CN04,Boom Music Box Hùng Vương (CN2),Hùng Vương (CN2),Karaoke mini / Nhà sản xuất âm nhạc,"335-337 Hùng Vương, P. An Đông, TP.HCM (Quận 5 cũ)",TP.HCM,0914636346,0914 636 346,10:00 - 06:00 hôm sau (hàng ngày),10:00,06:00,4.7,593,10.7546,106.6666,N,https://www.google.com/maps/search/Boom+Music+Box+H%C3%B9ng+V%C6%B0%C6%A1ng,,,,Từ 10-15k/giờ,CN2 của hệ thống.,,,104,Y
CN05,Boom Music Box Nha Trang (CN3),Nha Trang (CN3),Karaoke mini / Cửa hàng âm nhạc,"84 Đoàn Trần Nghiệp, TP Nha Trang, Khánh Hòa",Khánh Hòa,0357264354,0357 264 354,10:00 - 06:00 hôm sau (hàng ngày),10:00,06:00,4.6,129,12.2426,109.193,N,https://www.google.com/maps/search/Boom+Music+Box+Nha+Trang,,,,Từ 10-15k/giờ,"CN3 của hệ thống, chi nhánh đầu tiên ngoài TP.HCM.",,,105,Y
CN06,Boom Music Box Dương Quảng Hàm 1 (CN4),Dương Quảng Hàm 1 (CN4),Karaoke mini,"512 Dương Quảng Hàm, P. An Nhơn,0706096186,0706 096 186,,,10:00 - 06:00 hôm sau (hàng ngày),10:00,06:00,,,10.8331,106.6862,N,https://www.google.com/maps/search/512+D%C6%B0%C6%A1ng+Qu%E1%BA%A3ng+H%C3%A0m,,,"CN4, dùng chung hotline với chi nhánh Dương Quảng Hàm 2 (cùng đường). Cần kiểm tra thực tế.",Từ 10-15k/giờ,"CN4, có thể chung quản lý với CN5 (cùng đường). Cần kiểm tra thực tế.",,,106,Y
CN07,Boom Music Box Dương Quảng Hàm 2 (CN5),Dương Quảng Hàm 2 (CN5),Karaoke mini / Cửa hàng âm nhạc,"518 Dương Quảng Hàm, P. An Nhơn, TP.HCM (Quận Gò Vấp cũ)",TP.HCM,0706096186,0706 096 186,10:00 - 06:00 hôm sau (hàng ngày),10:00,06:00,4.7,816,10.8334,106.686,N,https://www.google.com/maps/search/Boom+Music+Box+D%C6%B0%C6%A1ng+Qu%E1%BA%A3ng+H%C3%A0m,,,,Từ 10-15k/giờ,CN5.,,,107,Y
CN08,Boom Music Box Lê Đức Thọ (CN6),Lê Đức Thọ (CN6),Karaoke mini / Phòng thu âm,"484-486 Đ. Lê Đức Thọ, P. (Gò Vấp cũ), TP.HCM",TP.HCM,0778713449,0778 713 449,10:00 - 06:00 hôm sau (hàng ngày),10:00,06:00,4.8,414,10.8443,106.6712,N,https://www.google.com/maps/search/Boom+Music+Box+L%C3%AA+%C4%90%E1%BB%A9c+Th%E1%BB%8D,,,,Từ 10-15k/giờ,CN6.,,,108,Y
CN09,Boom Music Box Tô Ký (CN7),Tô Ký (CN7),Karaoke mini / Cửa hàng âm nhạc,"12/09 Tô Ký, P. Tân Chánh Hiệp, TP.HCM (Quận 12 cũ)",TP.HCM,0911695421,0911 695 421,10:00 - 06:00 hôm sau (hàng ngày),10:00,06:00,4.6,278,10.856,106.627,N,https://www.google.com/maps/search/Boom+Music+Box+T%C3%B4+K%C3%BD,facebook.com/Boommusicboxtoky,,,Từ 10-15k/giờ,CN7.,,,109,Y
CN10,Boom Music Box Cần Thơ (CN8),Cần Thơ (CN8),Karaoke mini / Phòng thu âm,"175 Đường 3/2, P. Tân An, TP Cần Thơ",Cần Thơ,0985816683,0985 816 683,10:00 - 06:00 hôm sau (hàng ngày),10:00,06:00,4.7,180,10.0322,105.772,N,https://www.google.com/maps/search/Boom+Music+Box+C%E1%BA%A7n+Th%C6%A1,,,,Từ 10-15k/giờ,CN8.,,,110,Y
